,x,y,z,person_id,order,frame
0,695.158,604.496,0.901896,0,0,0
1,659.258,594.81,0.828794,0,1,0
2,656.936,563.788,0.853825,0,2,0
3,652.197,575.763,0.720619,0,3,0
4,652.166,623.518,0.782689,0,4,0
5,668.838,621.131,0.828508,0,5,0
6,671.27,676.012,0.849057,0,6,0
7,666.52,733.345,0.833914,0,7,0
8,566.3,640.235,0.836347,0,8,0
9,556.649,623.602,0.774714,0,9,0
10,482.674,678.315,0.854867,0,10,0
11,411.1,714.325,0.84097,0,11,0
12,582.899,656.903,0.834556,0,12,0
13,582.846,749.939,0.861347,0,13,0
14,578.11,709.437,0.198924,0,14,0
15,699.868,599.615,0.925603,0,15,0
16,0.0,0.0,0.0,0,16,0
17,695.147,580.514,0.941924,0,17,0
18,0.0,0.0,0.0,0,18,0
19,578.086,738.069,0.215719,0,19,0
20,583.018,733.411,0.245988,0,20,0
21,0.0,0.0,0.0,0,21,0
22,389.509,735.705,0.605347,0,22,0
23,382.421,726.146,0.63206,0,23,0
24,410.985,716.673,0.710936,0,24,0
0,695.179,604.506,0.906226,0,0,1
1,659.245,594.834,0.83272,0,1,1
2,656.913,563.78,0.845656,0,2,1
3,652.152,575.758,0.715374,0,3,1
4,652.153,623.504,0.803166,0,4,1
5,668.87,621.159,0.825651,0,5,1
6,671.275,676.043,0.853387,0,6,1
7,668.822,733.329,0.830053,0,7,1
8,566.304,640.263,0.827774,0,8,1
9,556.649,625.885,0.768528,0,9,1
10,482.656,678.324,0.851814,0,10,1
11,411.081,716.515,0.843499,0,11,1
12,582.9,656.939,0.832271,0,12,1
13,582.836,749.943,0.863385,0,13,1
14,578.104,707.086,0.215174,0,14,1
15,699.879,599.612,0.931202,0,15,1
16,0.0,0.0,0.0,0,16,1
17,695.135,580.517,0.939545,0,17,1
18,0.0,0.0,0.0,0,18,1
19,578.102,738.059,0.225092,0,19,1
20,583.037,733.397,0.257924,0,20,1
21,0.0,0.0,0.0,0,21,1
22,387.224,735.731,0.614517,0,22,1
23,382.411,726.158,0.639241,0,23,1
24,408.751,716.699,0.711028,0,24,1
0,695.166,604.51,0.903343,0,0,2
1,659.247,594.835,0.830922,0,1,2
2,656.924,563.787,0.846106,0,2,2
3,652.149,573.422,0.718513,0,3,2
4,652.152,623.466,0.805554,0,4,2
5,668.865,621.166,0.824736,0,5,2
6,671.279,676.049,0.854631,0,6,2
7,666.513,733.341,0.834511,0,7,2
8,566.3,640.263,0.828838,0,8,2
9,556.645,625.887,0.76863,0,9,2
10,482.649,678.331,0.850539,0,10,2
11,411.106,714.323,0.845974,0,11,2
12,582.9,656.939,0.832957,0,12,2
13,582.846,749.951,0.863034,0,13,2
14,578.105,709.406,0.19431,0,14,2
15,699.869,599.615,0.932526,0,15,2
16,0.0,0.0,0.0,0,16,2
17,695.139,580.509,0.940493,0,17,2
18,0.0,0.0,0.0,0,18,2
19,575.816,738.061,0.206493,0,19,2
20,583.007,733.411,0.238458,0,20,2
21,0.0,0.0,0.0,0,21,2
22,389.602,735.663,0.625781,0,22,2
23,384.831,723.788,0.649332,0,23,2
24,410.993,716.667,0.716172,0,24,2
0,695.159,604.496,0.91079,0,0,3
1,659.26,594.839,0.83874,0,1,3
2,656.908,563.796,0.856688,0,2,3
3,652.138,578.073,0.716875,0,3,3
4,652.161,623.514,0.810849,0,4,3
5,668.913,621.144,0.832127,0,5,3
6,671.279,676.058,0.858007,0,6,3
7,666.534,733.341,0.833905,0,7,3
8,566.31,640.26,0.829368,0,8,3
9,556.644,625.878,0.772708,0,9,3
10,482.67,678.32,0.853988,0,10,3
11,411.091,716.508,0.846115,0,11,3
12,582.91,656.935,0.830501,0,12,3
13,582.851,749.945,0.865661,0,13,3
14,575.76,707.031,0.199384,0,14,3
15,697.638,599.612,0.937031,0,15,3
16,0.0,0.0,0.0,0,16,3
17,695.119,580.523,0.943214,0,17,3
18,0.0,0.0,0.0,0,18,3
19,575.804,738.054,0.200869,0,19,3
20,582.991,733.392,0.231252,0,20,3
21,0.0,0.0,0.0,0,21,3
22,389.573,735.687,0.627399,0,22,3
23,384.804,723.813,0.647108,0,23,3
24,408.765,716.688,0.715919,0,24,3
0,695.163,604.502,0.909688,0,0,4
1,659.252,594.858,0.839871,0,1,4
2,656.906,563.822,0.851373,0,2,4
3,652.141,575.77,0.730696,0,3,4
4,652.111,623.47,0.814296,0,4,4
5,671.194,621.16,0.832641,0,5,4
6,671.269,676.048,0.857632,0,6,4
7,666.529,733.346,0.833947,0,7,4
8,566.308,640.252,0.827721,0,8,4
9,556.643,625.87,0.772631,0,9,4
10,482.663,678.328,0.851521,0,10,4
11,411.109,714.322,0.842543,0,11,4
12,582.905,656.929,0.827938,0,12,4
13,582.854,749.945,0.863788,0,13,4
14,575.795,707.03,0.203385,0,14,4
15,699.856,599.617,0.93755,0,15,4
16,0.0,0.0,0.0,0,16,4
17,695.122,580.527,0.945207,0,17,4
18,0.0,0.0,0.0,0,18,4
19,578.077,738.064,0.207831,0,19,4
20,583.017,733.394,0.238411,0,20,4
21,0.0,0.0,0.0,0,21,4
22,389.574,735.679,0.619256,0,22,4
23,384.805,723.803,0.641051,0,23,4
24,410.998,716.666,0.713421,0,24,4
0,695.14,604.505,0.907869,0,0,5
1,659.284,594.848,0.827508,0,1,5
2,656.939,563.826,0.851276,0,2,5
3,652.191,575.723,0.726612,0,3,5
4,654.479,623.532,0.794033,0,4,5
